,0,1,2
1357,inertia industries ltd,harvey son ltd,86
1358,biyat hj,brewery at the bay putinbay brewing co,56
1359,berwick brewing company,becker brewing company,89
1360,owa beer,ogawa beer,89
1361,dempseys brewery restaurant pub,dempseys restaurant and brewery,88
1362,sierra madre brewery,deka brewery,86
1363,swan brewery,swale brewery,88
1364,barfusser das kleine brauhaus nurnberg,kronen brauhaus,86
1365,kumazawa brewing co shonan beer and trattoria mokichi,walking man brewing co,86
1366,the celt experience brewery,deka brewery,86
1367,ferme brasserie garland,brasserie henry,86
1368,indery gardsbryggeri,olands gardsbryggeri,80
1369,hanseatische getrankeindustrie hgi holstenbrauerei ag,heineken switzerland ag,86
1370,too arai90,too kompaniya aknar derbes,86
1371,carsons restaurant and brewery,harrisons brewery and restaurant,89
1372,bjs restaurant and brewhouse,bjs restaurant brewhouse,95
1373,st francis brewery restaurant,deka brewery,86
1374,kralovsky pivovar krusovice as,dansk mjd as,86
1375,warwick bryghus aps,grauballe bryghus gaardbryggeriet,86
1376,yellow cross,yellow rose brewing company,86
1377,bears lair,barts,72
1378,flat tail brewing,whale gulch brewing company,86
1379,sekinoichishuzou iwatekura brewery,deka brewery,86
1380,schladminger brau gmbh,kiesel brau,86
1381,wooden shoe brewing company,pisgah brewing co,86
1382,brouwerij deca services nv,brouwerij de cock,86
1383,panama city brewery cafe,deka brewery,86
1384,oggis pizza brewing co,boscos restaurant brewing co memphis,86
1385,southend brewery smokehouse,deka brewery,86
1386,privatbrauerei specht,privatbrauerei reh,87
1387,karlsberg brauerei,kolberg brauerei,88
1388,barum brewery limited,deka brewery,86
1389,westerwald brauerei h schneider,kolberg brauerei,86
1390,leopold bros brewery of ann arbor,deka brewery,86
1391,brau z loh,st georgs brau gmbh,86
1392,andrews brewing co,whale gulch brewing company,86
1393,small town brewery,deka brewery,86
1394,draai laag brewing company saints turncoats public house,walking man brewing co,86
1395,hofbrauhaus munchen,brauerei grandauer wildbrau grafing vor munchen,86
1396,tomos watkin brewery,deka brewery,86
1397,die weisse,die weisse salzburger weissbierbrauerei,90
1398,geelong brewing,long brewing,89
1399,4 hands brewing co,whale gulch brewing company,86
1400,district chophouse brewery,deka brewery,86
1401,aztec brewing company,epic brewing company,88
1402,peschl brau,st georgs brau gmbh,86
1403,192 brewing company,512 brewing company,95
1404,pivovariya luzhniki oao,vizit oao,86
1405,photos photiades breweries,boston breweries,86
1406,townsville brewing co,boscos restaurant brewing co memphis,86
1407,beltaine appennino risorse,ineeka,60
1408,privatbrauerei harke kg,burgerbrau hersbruck deinlein co kg,86
1409,bierwerk afrikan ales brewery,oulton ales limited,86
1410,ac golden brewing company,golden state brewing company,89
1411,max lagers american grill brewery,deka brewery,86
1412,samba brewing co winery,boscos restaurant brewing co memphis,86
1413,pivovar konrad pivovar hols,pivovar kacov,86
1414,arcadia brewing company,airdale brewing company,87
1415,helm,brasserie warenghem,77
1416,arctic craft brewery,deka brewery,86
1417,the stable,the blue ridge brewing co,86
1418,kaiserdom privatbrauerei bamberg,privatbrauerei hosl,86
1419,microbrasserie du lacsaintjean,le trou du diable,86
1420,half pints brewing company,alpine brewing company,88
1421,blue diamond brewing co,black diamond brewing co,89
1422,seven seas brewery and saloon bar,deka brewery,86
1423,zum stiefel,ratsbrauerei zum bauml,86
1424,boneyard beer company,bondi beer company,87
1425,dreher brewery,watson bros bistro brewery,86
1426,greenpoint beerworks kelso of brooklyn,randalls of guernsey,86
1427,shyestnadtsat tonnsixteen tons,to l,64
1428,potbelly brewery,watson bros bistro brewery,86
1429,schorschbrau,storchenbrau,75
1430,tarricone spa,birra peroni industriale spa,86
1431,san luis valley brewing company,valley brewing company,95
1432,as l257269pl275a alus,pivovar v martine heineken slovensko as,86
1433,brauhaus schweinfurt gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1434,lipetskpivo,moskvoretskiy pivovarinniy zavod cebco,66
1435,great western brewing,great waters brewing,88
1436,to l,roskilde l,86
1437,hurricane brewing company,brewhouse at whistler high mountain brewing company,86
1438,gold crown brewery,deka brewery,86
1439,brasserie la rochefortoise,la grihete,86
1440,bastone,stonefly onopa brewing company,74
1441,brew 42 brewery,watson bros bistro brewery,86
1442,flying fish brewing company,flying bison brewing company,91
1443,brasserie du corsaire,le brassetemps louvainlaneuve brasserie dubuisson freres,86
1444,schuttinger brauerei,gatzweiler brauerei dusseldorf,86
1445,afanasy pivo brau service,kiesel brau,86
1446,herrnbrau burgerliches brauhaus ingolstadt,kronen brauhaus,86
1447,brasserie dorval sa,hellenic breweries of atalanti sa,86
1448,grey sail brewing of rhode island,walking man brewing co,86
1449,frank n stein,schlossbrauerei stein wiskott gmbh co kg,86
1450,tommyknocker brewery,deka brewery,86
1451,martin olsson handels ab,kopparbergs bryggeri ab sofiero banco zeunerts,86
1452,tenaya creek brewery,deka brewery,86
1453,route 66 brewery,watson bros bistro brewery,86
1454,brauerei steigerwald familie hike,spessart brauerei gmbh,86
1455,hart thistle,banks canada hart brewing co,86
1456,braufactum die internationale braumanufacturen gmbh,spessart brauerei gmbh,86
1457,brau am berg starzinger kg brauerei aspach,kiesel brau,86
1458,anderson valley brewing company,valley brewing company,95
1459,brauerei schwarzes kreuz,kolberg brauerei,86
1460,jester king craft brewery,deka brewery,86
1461,wabash valley malt beverage company,wind valley brewery rakuno okoku kabushiki kaisha brewery,86
1462,balmain brewing company,marin brewing company,91
1463,lido atputas centrs,sp etrus,68
1464,browar czarnkow,browar zwierzyniec zp w lublinie sa,86
1465,asheville brewing company,hill brewing company,89
1466,gettysbrew restaurant brewery,deka brewery,86
1467,grays brewing company,brays brewing company,95
1468,schooner exact brewing company,pisgah brewing co,86
1469,wallhall brauhaus im lamm,kronen brauhaus,86
1470,brauerei josef greif,gatzweiler brauerei dusseldorf,86
1471,coop ale works,coopers cave ale company,86
1472,minipivovar u medvidku,brauerei wolfshohe k u f weber gmbh co kg,86
1473,uehara shuzou co ltd echigo beer pub,walking man brewing co,86
1474,wiedenmayer brewing corp,boscos restaurant brewing co memphis,86
1475,mt tabor brewing,mt angel brewing company,86
1476,lost falls brewing company,falls brewing company,95
1477,little river brewing company,trout river brewing company,87
1478,la jolla brew house,la grihete,86
1479,schwarzbrau gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1480,ohanlons brewing co ltd,boscos restaurant brewing co memphis,86
1481,al ahram beverages company,brewhouse at whistler high mountain brewing company,86
1482,brauerei konigshof,gatzweiler brauerei dusseldorf,86
1483,the monarch tavern fountain city brewing co,walking man brewing co,86
1484,brauerei vormann,gatzweiler brauerei dusseldorf,86
1485,ferme brasserie schoune,brasserie henry,86
1486,catamount brewing company,camo brewing company,89
1487,stateline brewery,watson bros bistro brewery,86
1488,bayerische lowenbrauerei,bayerische staatsbrauerei weihenstephan,86
1489,cugino brewing,walking man brewing co,86
1490,shakespeare tavern and brewery,hopmonk tavern,86
1491,specklebellys brew pub,great dane pub brewing company downtown,86
1492,cerveceria la tropical brewmasters,la grihete,86
1493,brauerei zirndorf gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1494,narke kulturbryggeri ab,kopparbergs bryggeri ab sofiero banco zeunerts,86
1495,georg meinel bierbrauerei kg,stariy georg,86
1496,birrificio spluga,birrificio bresciano montenetto,86
1497,brasserie du boxer sa,hellenic breweries of atalanti sa,86
1498,holy city brewing,whale gulch brewing company,86
1499,redbud brewing company,boscos restaurant brewing co memphis,86
1500,brasserie des alberes,brasserie des abers,95
1501,privatbrauerei kesselring gmbh co kg,walking man brewing co,86
1502,amager bryghus,grauballe bryghus gaardbryggeriet,86
1503,hc berger brewing co,boscos restaurant brewing co memphis,86
1504,le brasseur rochelais,le brassetemps mons microbrasserie le brassetemps,86
1505,new knoxville brewing company,pisgah brewing co,86
1506,martins brau erste freiburger gasthausbrauerei,kiesel brau,86
1507,orth brau gmbh co kg zum fuchsbeck,walking man brewing co,86
1508,orkney brewery,watson bros bistro brewery,86
1509,brauerei karg,spessart brauerei gmbh,86
1510,brasserie la barbiot,la grihete,86
1511,the cowboy restaurant brewery,the covey restaurant brewery,91
1512,kassiks kenai brew stop,the brew kettle taproom smokehouse production works,86
1513,braustuberl zum thorbrau,uerige obergarige hausbrauerei gmbh zum uerige,86
1514,drakes brewing co,whale gulch brewing company,86
1515,buffys brewery,watson bros bistro brewery,86
1516,upland brewing company,island brewing company,91
1517,hand in hand kemptown brewery co ltd,walking man brewing co,86
1518,alligator brewing company,aviator brewing company,92
1519,brays brewing company,grays brewing company,95
1520,bonnema brewing company,bozeman brewing company,91
1521,draught house pub brewery,deka brewery,86
1522,toscana tipica birra del linchetto,birra korca,86
1523,riverside brewing company,traverse brewing company,90
1524,white birch brewing,boscos restaurant brewing co memphis,86
1525,cervejaria kaiser,cervejaria rasen bier ltda,86
1526,roy pitz brewing company,boscos restaurant brewing co memphis,86
1527,the fat cat beer company,brewhouse at whistler high mountain brewing company,86
1528,bridgnorth brewing company,roth brewing company,87
1529,memminger brauerei,gatzweiler brauerei dusseldorf,86
1530,the hidden brewery,the idle brewery,88
1531,pratt street ale house,ale house,90
1532,brooklyn brewery,watson bros bistro brewery,86
1533,wolf rock brewing company,wolf brewing company,95
1534,white winter winery inc,bacardi usa inc,86
1535,coeur dalene brewing co,boscos restaurant brewing co memphis,86
1536,green mill brewery,deka brewery,86
1537,bad monkey brewing company llc,boone brewing company llc,87
1538,a1a aleworks,elk creek cafe aleworks,86
1539,hilden brewing company taproom,pisgah brewing co,86
1540,brasserie caulier,brasserie ocale,88
1541,gotenba kohgen brewery,deka brewery,86
1542,banks canada hart brewing co,pisgah brewing co,86
1543,mount shasta brewing,boscos restaurant brewing co memphis,86
1544,new jersey beer company,brewhouse at whistler high mountain brewing company,86
1545,birrone,bierbrouwerij t vlendam,64
1546,fulton pub brewery mcmenamins,mcmenamins,90
1547,holy brew brewing company,brewhouse at whistler high mountain brewing company,86
1548,storm brewing co,storm brewing,95
1549,hohenfelder privat brauerei,kolberg brauerei,86
1550,breakside brewery,watson bros bistro brewery,86
1551,eurobrau gmbh,spessart brauerei gmbh,86
1552,privatbrauerei st ingbert,privatbrauerei burgerbrau naila a wohn ohg,86
1553,sudds brewery ltd,watson bros bistro brewery,86
1554,strange brewing company,triangle brewing company,94
1555,warbird brewing company,arbor brewing company,91
1556,cathedral square brewery,deka brewery,86
1557,yorkholo brewing co,boscos restaurant brewing co memphis,86
1558,crane river brewpub cafe,the perfect pear cafe the vermont beer company,86
1559,beer house,belco beer house sa,90
1560,good people brewing company,peoples brewing company,88
1561,lion breweries,namibia breweries limited,86
1562,loverbeer,jw dover beer wine makers supplies black box brewing co,80
1563,garton brewery,beartown brewery,87
1564,de struise brouwers,antarctica companhia brasileira de bebidas,86
1565,brauerei hofstetten krammer gmbh co kg,walking man brewing co,86
1566,brauerei fruh am dom,gatzweiler brauerei dusseldorf,86
1567,lakefront brewery inc,deka brewery,86
1568,ska brewing co,nebraska brewing company,90
1569,breconshire brewery,deka brewery,86
1570,the cambridge house brewpub,the cambridge house,95
1571,san marcos brewery grill,deka brewery,86
1572,el toro brewing co,whale gulch brewing company,86
1573,blackdown brewery,black dog brewery,88
1574,otaru beer,the perfect pear cafe the vermont beer company,86
1575,saxer brewing company norwester beer company,walking man brewing co,86
1576,stone coast brewing co,stone brewing co,95
1577,independence brewing co,boscos restaurant brewing co memphis,86
1578,shoes brewery,watson bros bistro brewery,86
1579,the mash tun,mash,90
1580,hawthorn brewing company,carton brewing company,87
1581,blue collar brewing co,boscos restaurant brewing co memphis,86
1582,pivovar zlatopramen,pivovar v martine heineken slovensko as,86
1583,cafe brouwerij nieuwhuys,the perfect pear cafe the vermont beer company,86
1584,brauerei stottner,gatzweiler brauerei dusseldorf,86
1585,birrificio montegioco,birrificio ostiense artigianale boa,86
1586,ritter st georgenbrauerei karl glossner gmbh co kg,st georgenbrau,90
1587,brasserie de bouillon le marche de nathalie,brasserie authentique,86
1588,viru olu as,pivovar v martine heineken slovensko as,86
1589,noujikumiaihoujin iganosato mokumoku tezukuri farm,weeping radish eco farm brewery,86
1590,philadelphia brewing company,pisgah brewing co,86
1591,birrificio flli trami,birrificio ostiense artigianale boa,86
1592,e o trading company,brewhouse at whistler high mountain brewing company,86
1593,cape may brewing company,cape ann brewing company,92
1594,froschl brau,st georgs brau gmbh,86
1595,browar zamkowy sp z oo,browar kiper,86
1596,birrificio menaresta,birrificio bresciano montenetto,86
1597,copper creek brewing company,copper crow brewing company,91
1598,brasserie de la senne,brasserie de lautene,88
1599,first in last out filo brewery,deka brewery,86
1600,okanagan spring brewery,deka brewery,86
1601,belvoir brewery ltd,deka brewery,86
1602,dominica brewery and beverages ltd,deka brewery,86
1603,brauhaus georgbru,bru,90
1604,birrificio freccia,birrificio bresciano montenetto,86
1605,double take brewing company,pisgah brewing co,86
1606,portchester brewery the,deka brewery,86
1607,microbirrificio opperbacco,birrificio geco,72
1608,florida brewery inc,deka brewery,86
1609,brouwerij boon,brouwerij drie fonteinen,86
1610,pivovar basta sousedsky pivovar u bansethu,pivovar herold b345eznice as,86
1611,crailsheimer engelbrau,engel brauerei,70
1612,the wheat beer company,the beer company,95
1613,tomp beer spirits,the perfect pear cafe the vermont beer company,86
1614,heineken stpetersburg brewery ltd,deka brewery,86
1615,gasthausbrauerei leuchtturm,martins brau erste freiburger gasthausbrauerei,86
1616,woof breweries,namibia breweries limited,86
1617,brouwerij fisser nv,brouwerij de bie dhellekappelle,86
1618,trail creek pub brewing company,pisgah brewing co,86
1619,trout river brewing company,rush river brewing company,91
1620,liquid manufacturing arlington brewing co,walking man brewing co,86
1621,klosterbrauerei weltenburg,klosterbrauerei,90
1622,stefani and co,walking man brewing co,86
1623,helsinge angbryggeri,rise bryggeri,69
1624,brasserie du sollier,brasserie nationale bofferding,86
1625,central waters brewing company,pisgah brewing co,86
1626,red rock brewery,red oak brewery,90
1627,haneda shuzo yk,suginoya brewery hamachi shuzo kk,86
1628,madhouse brewing company,jailhouse brewing company,90
1629,sulwath brewers ltd,nail brewing australia pty ltd,86
1630,vintage brewing company,uinta brewing company,91
1631,moon river brewing company,raccoon river brewing company,91
1632,four sons brewery restaurant,deka brewery,86
1633,oso brewing company,soo brewing company,95
1634,obolon brewery,watson bros bistro brewery,86
1635,the mermaid tavern grille,hopmonk tavern,86
1636,pivovar stein,pivovar v martine heineken slovensko as,86
1637,muskoka brewery,watson bros bistro brewery,86
1638,borinquen grill brewing company,pisgah brewing co,86
1639,seneca lodge craft brewing,pisgah brewing co,86
1640,ocean avenue brewery,deka brewery,86
1641,west berkshire brewery company,deka brewery,86
1642,brasserie augrenoise,brasserie nationale bofferding,86
1643,ranovakrasnaya,bere craiova brauunion romania,55
1644,klaterni pivovar the strahov monastic brewery,watson bros bistro brewery,86
1645,shinano brewery vanryu chestnut pub,deka brewery,86
1646,broken drum brewery and wood grill,deka brewery,86
1647,1st city brewery and grill,deka brewery,86
1648,olde heurich brewing co,boscos restaurant brewing co memphis,86
1649,lucky hand brewing company,elk head brewing company,88
1650,blue hills brewery,deka brewery,86
1651,berkshire brewing company inc,pisgah brewing co,86
1652,mimbres valley brewing company,valley brewing company,95
1653,gunnison brewery,watson bros bistro brewery,86
1654,microbrasserie archibald,le brassetemps mons microbrasserie le brassetemps,86
1655,minnesota brewing company,uinta brewing company,87
1656,brasserie artisanale oceane,brasserie artisanale du centre,88
1657,la cumbre brewing co,boscos restaurant brewing co memphis,86
1658,revival brewing co,whale gulch brewing company,86
1659,royal beer company ltd,harvey son ltd,86
1660,the barber shop,the blue ridge brewing co,86
1661,welde brau gmbh co kg,kiesel brau,86
1662,the flying horse bar brewery,deka brewery,86
1663,lunar brewing,dunbar brewing,89
1664,brauerei schlappeseppel gmbh,kolberg brauerei,86
1665,lake on the mountain brewery,deka brewery,86
1666,jailhouse brewing company,madhouse brewing company,90
1667,brouwerij verstraete,brouwerij de bie dhellekappelle,86
1668,weissbierbrauerei schwendl,die weisse salzburger weissbierbrauerei,86
1669,united breweries ub group,boston breweries,86
1670,copper kettle brewing company,copper creek brewing company,88
1671,harmon brewing and tap room,pisgah brewing co,86
1672,triple fff brewing company,pisgah brewing co,86
1673,brouwerij bockor nv,brouwerij de bie dhellekappelle,86
1674,crown beverages,crown valley brewing distilling co,86
1675,australian brewing corporation,pisgah brewing co,86
1676,nantahala brewing company,fantail brewing company,88
1677,chardon brewworks eatery,legends brewhouse eatery of ashwaubenon,86
1678,oriental brewery co ltd,boscos restaurant brewing co memphis,86
1679,bumthang brewery ltd,deka brewery,86
1680,jerninghan street brewery,deka brewery,86
1681,sun valley brewing company,valley brewing company,95
1682,wildlife brewing pizza,boscos restaurant brewing co memphis,86
1683,bvba brouwerij broeder jacob,brouwerij de cock,86
1684,especialidades cerveceras sa de cv,bieres de saintlouis,86
1685,spearhead brewing company,brewhouse at whistler high mountain brewing company,86
1686,ghost river brewing,boscos restaurant brewing co memphis,86
1687,schlossbrauerei auhallertau,schlossbrauerei unterbaar a freiherr von trockau,86
1688,tryst brewery,watson bros bistro brewery,86
1689,hasseroder brauerei gmbh,kolberg brauerei,86
1690,martinborough brewing co,boscos restaurant brewing co memphis,86
1691,kronleins bryggeri ab,kopparbergs bryggeri ab sofiero banco zeunerts,86
1692,beamish crawford plc,whitbread plc,86
1693,bodega 1800 import export corporation,dutch export breweries,86
1694,the kingston brewing company,pisgah brewing co,86
1695,feldschlosschen ag,feldschloesschen ag,97
1696,bank street brewing,boscos restaurant brewing co memphis,86
1697,sprague farm brew works,the brew kettle taproom smokehouse production works,86
1698,triscele srl,zago srl,86
1699,only the best brewing company,pisgah brewing co,86
1700,destiny brewing company,edsten brewing company,89
1701,thirsty planet brewing company,thirsty dog brewing company,87
1702,bridges ale house,ale house,90
1703,brauerei gundel,gatzweiler brauerei dusseldorf,86
1704,cervejaria nacional,cerveceria boliviana nacional sa,86
1705,cervejaria baden baden,cervejaria bruge,77
1706,rosa,pivzavod ao rosar,90
1707,old dominion brewing company,old world brewery,86
1708,powerhouse restaurant and brewery,ram restaurant and brewery,87
1709,horse heaven hills brewery,deka brewery,86
1710,kloster machern,augustiner brau kloster mulln ohg,86
1711,beba,glenbar malting,68
1712,birra peja,novecento fabbrica della birra,86
1713,brauhaus frankenberger e ortmanns,kronen brauhaus,86
1714,colbitzer heidebrauerei,kolberg brauerei,72
1715,bru,olvisholt brugghus,90
1716,microbrasserie saintarnould,le brassetemps mons microbrasserie le brassetemps,86
1717,walnut creek alehouse pyramid,wolf creek brewing,86
1718,50 back brewing company,boscos restaurant brewing co memphis,86
1719,vat pivobyezalkogolniy kombinat krim,brouwerij vat no13,86
1720,magnotta brewery,watson bros bistro brewery,86
1721,schlossbrauerei stelzer,schlossbrauerei maxlrain gmbh co kg,86
1722,inchant brewery rose and crown hotel,deka brewery,86
1723,gardner ale house,ale house,90
1724,kraftbrau brewery,watson bros bistro brewery,86
1725,mad crab restaurant and brewery,ram restaurant and brewery,88
1726,flat branch pub brewery,deka brewery,86
1727,jacob leinenkugel brewing company,walking man brewing co,86
1728,brasserie saintmonon,brasserie nationale bofferding,86
1729,magnolia pub brewery,deka brewery,86
1730,shaw wallace company ltd,harvey son ltd,86
1731,zatecky pivovar,pivovar v martine heineken slovensko as,86
1732,ellis island casino brewery,deka brewery,86
1733,mammoth brewing company,camo brewing company,88
1734,brasserie de labbaye du valdieu,brasserie de labbaye du cateau,89
1735,hubert mellert brauerei,brauerei ott,86
1736,cerveceria polar los cortijos,cerveceria hacienda,86
1737,brckhouse aps,bryggeriet djvlebryg aps,86
1738,allamerican grill brewhouse,brewhouse at whistler high mountain brewing company,86
1739,brasserie artisanale de la crecelle,brasserie authentique,86
1740,the blind bat brewery llc,deka brewery,86
1741,cans bar and canteen,draught microbrewery bar grill,86
1742,quigleys pint plate,to l,68
1743,syktyvkarpivo,yarpivo,77
1744,swell brewing company,andwell brewing company,91
1745,ales of scilly brewery,deka brewery,86
1746,chastnaya pivovarnya erstes,yarpivo,77
1747,syndicate restaurant brewery,deka brewery,86
1748,pivovaren zavod varensko pivo,lomsko pivo,86
1749,weissbrau kosslarn,weissbrau unertl,68
1750,high noon saloon brewery,deka brewery,86
1751,kelham island brewery,island brew,90
1752,mudhook brewing company,boscos restaurant brewing co memphis,86
1753,marthas vineyard ales,slaters ales,86
1754,the merchant ale house restaurant brewpub,ale house,90
1755,carlsberg sverige,carlsberg sverige ab,95
1756,pikra inc,great sex brewing inc,86
1757,big bear brewing company,big easy brewing company,92
1758,houng sen brewery,watson bros bistro brewery,86
1759,yazoo brewing company,yoho brewing company,93
1760,brauerei heller gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1761,cerveceria hondurena sa bevco ltd,harvey son ltd,86
1762,ishikawa brewery co ltd,boscos restaurant brewing co memphis,86
1763,la mare au diable,la grihete,86
1764,brew it up davis,brew it up,90
1765,mad fox brewing company,sly fox brewing company,87
1766,creemore springs brewery limited,oulton ales limited,86
1767,mission brewery,watson bros bistro brewery,86
1768,fosters group limited,keo limited,86
1769,hobsons brewery,watson bros bistro brewery,86
1770,brickstone restaurant brewery,blackstone restaurant brewery,93
1771,brasserie thiriez,brasserie de saintsylvestre,86
1772,stoudts brewing co,whale gulch brewing company,86
1773,cold storage craft brewery,deka brewery,86
1774,americas brewpub,harpers restaurant brewpub,86
1775,middle villa inn,middle ages brewing co ltd,86
1776,golden lion brewing company pub brasserie le lion dor,walking man brewing co,86
1777,kamakura beer brewing company,pisgah brewing co,86
1778,traktir rus,bru,60
1779,zillertal bier gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1780,hawaii nui brewing mehana brewing company,walking man brewing co,86
1781,jackie os pub brewery,deka brewery,86
1782,shinshu toumi city promotion public corporation,mccoys public house,86
1783,walldorff brewpub and bistro,brewzzi italian american bistro microbrewery,86
1784,triple voodoo brewing,boscos restaurant brewing co memphis,86
1785,oak pond brewing company,wakonda brewing company,89
1786,hair of the dog brewing company brewery and tasting room,watson bros bistro brewery,86
1787,lammbrau hilsenbeck gmbh co,pisgah brewing co,86
1788,isar brau,st georgs brau gmbh,86
1789,lawsons finest liquids,to l,68
1790,london fields brewery,deka brewery,86
1791,draught works,draught microbrewery bar grill,86
1792,brauerei sauer,brauerei baumer,90
1793,crazy mountain brewing company,cave mountain brewing company,92
1794,beaver brewing company,avery brewing company,93
1795,forschungsbrauerei,schuttinger brauerei,74
1796,amarcord birra artigianale italiana,birra korca,86
1797,brasserie dieu du ciel,le brassetemps louvainlaneuve brasserie dubuisson freres,86
1798,amber ales limited,abbey ales limited,89
1799,roscoes hop house,traquair house brewery lld,86
1800,erste leopoldshafener gasthausbrauerei andreasbrau gmbh,spessart brauerei gmbh,86
1801,les brasseurs de lorraine,les brasseurs,90
1802,brouwerij de vlier,brouwerij de leite,89
1803,hausbrau stegaurach,steinacher hausbrau,75
1804,draymans brewery,watson bros bistro brewery,86
1805,pri kmeta the mayor brewpub,the perfect pear cafe the vermont beer company,86
1806,linden street brewery,deka brewery,86
1807,vecchio birraio,la caverna del mastro birraio,86
1808,boyntons brewing company,potosi brewing company,87
1809,hue brewery ltd,hydes brewery ltd,88
1810,brauerei hirt gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1811,north country brewing,boscos restaurant brewing co memphis,86
1812,cerveceria de mateveza,antarctica companhia brasileira de bebidas,86
1813,galway hooker brewery,deka brewery,86
1814,silver gulch brewing and bottling co,walking man brewing co,86
1815,cinderella russian bakery cafe,the perfect pear cafe the vermont beer company,86
1816,brewery at lake tahoe the,deka brewery,86
1817,kawartha lakes brewing company ltd,walking man brewing co,86
1818,beer works chitose,beer works,90
1819,osterbrau,klosterbrauerei ettal ettaler klosterbetriebe gmbh,90
1820,water street brewing ale house,ale house,90
1821,angry cedar brewing company,pisgah brewing co,86
1822,auerhahn brau schlitz gmbh,kiesel brau,86
1823,rch brewery,redchurch brewery,90
1824,brasserie haldemann,brasserie nationale bofferding,86
1825,the shed restaurant brewery,the covey restaurant brewery,87
1826,konishi brewing co shirayuki beer,walking man brewing co,86
1827,sockeye grill brewery,deka brewery,86
1828,san pedro brewing company,sea dog brewing company,88
1829,brecon brewing,baron brewing,89
1830,kumano beer kk,the perfect pear cafe the vermont beer company,86
1831,paulaner brauhaus,paulaner brauhaus pulana pijiu fang,90
1832,crest brewing company,west brewing company,93
1833,iron horse brewery,ironhouse brewery,91
1834,kolner verbund brauereien gmbh co kg,walking man brewing co,86
1835,peak brewing company,grizzly peak brewing company,95
1836,oslo mikrobryggeri,gir bryggeri,75
1837,kelburn brewing company,limburg brewing company,87
1838,heidelberger brauerei gmbh,kolberg brauerei,86
1839,buller brewing co,miller brewing co,88
1840,brasserie dorgemont,brasserie nationale bofferding,86
1841,brauerei otto hubner,brauerei ott,90
1842,odell brewing company,andwell brewing company,91
1843,arainn mhor brewing company,pisgah brewing co,86
1844,mauritius brauerei,gatzweiler brauerei dusseldorf,86
1845,the greenhouse,the blue ridge brewing co,86
1846,brouwerij westvleteren sintsixtusabdij van westvleteren,brouwerij west,90
1847,liebhart s brauhaus,furstliches brauhaus ellingen,86
1848,brasserie des rateliers,brasserie henry,86
1849,tintagel brewery,watson bros bistro brewery,86
1850,oakland brewing company,alandale brewing company,89
1851,browar restauracja grodzka 15,browar kormoran,86
1852,driftwood brewery,watson bros bistro brewery,86
1853,privatbrauerei franz joseph sailer,privatbrauerei hosl,86
1854,deschutes brewery,deschutes brewery public house,90
1855,pacific kingdom trading,pacific crest brewing company tap room,86
1856,brasserie dutailly,brasserie de saintsylvestre,86
1857,kuppers brauerei gmbh,kaltenberg international konig ludwig international gmbh cokg,86
1858,grand bahama brewing company,pisgah brewing co,86
1859,pennsylvania brewing company,pisgah brewing co,86
1860,tricity brewing company,trinity brewing company,96
1861,fulstow brewery,watson bros bistro brewery,86
1862,texelse bierbrouwerij,bierbrouwerij sint christoffel bv,86
1863,brauerei karl strauss,brauerei ott,86
1864,steam brewing company,amsterdam brewing company,91
1865,3 ravens brewing,mt angel brewing company,86
1866,keegan ales,oulton ales limited,86
1867,whale tail brew pub,great dane pub brewing company downtown,86
1868,rush river brewing company,trout river brewing company,91
1869,skildegaard,indery gardsbryggeri,58
1870,somerville brewing company slumbrew,walking man brewing co,86
1871,sawdust city brewing company,slab city brewing company,87
1872,great baraboo brewing company,oso brewing company,87
1873,blackfoot river brewing company,raccoon river brewing company,87
1874,stone wood,native stone winery bull rock brewery,86
1875,enterprise brewery knappstein wines,deka brewery,86
1876,flathead lake brewing company,pisgah brewing co,86
1877,fauerbach brewing company,beach brewing company,87
1878,new belgium brewing,boscos restaurant brewing co memphis,86
1879,the brewers art,the 3 brewers,87
1880,shire reeve brewing company,pisgah brewing co,86
1881,marshall brewing company,mariposa brewing company,88
1882,hardknott brewery,watson bros bistro brewery,86
1883,malmgardin panimo,nokian pup perkanmaan uusi panimo,86
1884,bierbrouwerij de schans,antarctica companhia brasileira de bebidas,86
1885,last drop brewery,watson bros bistro brewery,86
1886,cb potts restaurant brewery,cb potts,90
1887,les faiseurs de biere,antarctica companhia brasileira de bebidas,86
1888,hirschbrauerei gmbh co kg,kaltenberg international konig ludwig international gmbh cokg,86
1889,trattoria microbirreria ca de gos,bieres de saintlouis,86
1890,granville island brewery,island brew,90
1891,rapscallion,linox,60
1892,snowgoose restaurant pub sleeping lady brewing company,walking man brewing co,86
1893,brasserie nationale dhaiti,brasserie meteor,86
1894,schnitzerbrau,osterbrau,73
1895,hausbrauerei feierling,darmstadter ratskeller hausbrauerei gmbh,86
1896,hambleton ales,northern ales grocery,86
1897,molson coors canada,torin co,56
1898,main street beer company williamsville brewery,williamsville brewery,90
1899,birrificio emiliano,birrificio italiano,89
1900,brainerd lakes brewery,deka brewery,86
